idx,file,subject,stage,crop,ratio,heroC,hdrC,tileC,sqC,skin,skinY,skinLost,mean,sd,blown,sat,ringsat,cast
1,#1.jpg,move,s6,T,1.5,1.048,0.988,1.037,1.101,0,0,0,193.8,60.3,0.0519,0.113,0.097,15.7
2,#5.jpg,move,s3,T,1.5,1.184,1.228,1.105,1.451,0,0,0,187.9,37.7,0.0,0.309,0.266,-52.2
3,Crop.png,digital,s2,N,1.0,1.015,1.135,1.122,1.0,0,0,0,175.9,47.2,0.0,0.335,0.344,16.7
4,Kisses.jpg,pets,s6,T,1.499,1.259,1.325,1.098,1.304,0,0,0,192.4,51.1,0.0863,0.16,0.092,16.4
5,doing-business-with-his-brain-picture-New.jpg,work,s6,T,1.554,0.818,0.892,1.021,1.291,0,0,0,91.3,51.9,0.0011,0.207,0.206,-9.9
6,have-the-courage-to-be-ambitious-picture-id693275166.jpg,work,s6,T,1.578,1.053,1.04,1.047,1.298,0,0,0,137.8,70.0,0.0443,0.268,0.269,-26.1
7,hiker-looking-at-view-at-moraine-lake-banff-national-park-alberta-picture-id1335166112.jpg,outdoors,s6,H,1.499,1.186,1.175,1.025,1.149,0,0,0,123.8,47.1,0.0026,0.439,0.424,-53.7
8,iStock-1001289082.jpg,family,s6,T,1.604,1.138,1.243,1.07,1.316,0,0,0,158.0,87.5,0.0737,0.222,0.214,3.2
9,iStock-1007786322.jpg,nutrition,s6,T,1.499,1.112,1.024,1.077,1.216,0,0,0,156.3,60.0,0.0011,0.258,0.175,6.2
10,iStock-1020064642.jpg,work,s5,T,1.498,1.115,1.131,1.091,1.204,0,0,0,192.2,57.8,0.0425,0.115,0.13,12.1
11,iStock-1026572134.jpg,social,s6,N,0.745,1.095,1.16,1.069,1.029,0,0,0,111.3,58.3,0.0,0.403,0.431,37.8
12,iStock-1031384826-modified-7169d05b-5ae3-4227-85fc-0e3cb2bc172a.jpg,play,s6,N,0.8,1.51,1.631,1.384,1.128,0,0,0,176.0,61.4,0.1999,0.24,0.172,15.2
13,iStock-1031384826-modified-a11a1909-bc69-4d79-9e87-d5d802953f1f.jpg,play,s6,T,1.458,1.637,1.852,1.131,1.085,0,0,0,191.7,54.8,0.1973,0.22,0.2,16.1
14,iStock-1037007848 (1).jpg,move,s3,H,1.527,1.255,1.332,1.068,1.1,0,0,0,122.5,74.3,0.0391,0.484,0.472,56.3
15,iStock-1037623172.jpg,move,s3,H,1.499,1.237,1.29,1.083,0.986,0,0,0,111.9,77.7,0.0415,0.413,0.388,31.7
16,iStock-1038018250 (1).jpg,mind,s6,T,1.778,1.225,1.229,1.0,1.06,0,0,0,139.8,60.7,0.0,0.282,0.279,-20.0
17,iStock-1039533792.jpg,mind,s3,H,1.499,1.144,1.067,1.039,1.025,0,0,0,131.5,70.9,0.0627,0.345,0.336,32.8
18,iStock-1051098428.jpg,social,s3,T,1.5,1.282,1.403,1.07,1.044,0,0,0,107.4,67.1,0.0,0.233,0.199,12.2
19,iStock-1053860458.jpg,digital,s6,T,1.5,1.048,1.16,1.044,1.113,0,0,0,178.4,71.6,0.2155,0.264,0.218,38.0
20,iStock-1055102000 (1).jpg,digital,s6,T,2.34,1.095,1.111,1.119,1.29,0,0,0,103.7,65.1,0.0,0.342,0.336,14.6
21,iStock-1056322278 (1).jpg,digital,s6,T,1.498,1.19,1.229,1.068,1.072,0,0,0,146.9,70.9,0.0369,0.262,0.23,11.1
22,iStock-1057566460.jpg,move,s3,T,1.5,1.141,1.031,1.07,1.11,0,0,0,152.2,63.4,0.1123,0.331,0.301,53.1
23,iStock-1071442184.jpg,mind,s6,T,1.498,1.563,1.526,1.133,1.045,0,0,0,125.5,63.7,0.0015,0.303,0.249,32.7
24,iStock-1079719138-modified-fd4f50f8-5e9b-4457-ad9a-0b8153bf38d0.jpg,digital,s2,N,1.498,1.116,1.173,1.028,1.121,0,0,0,181.2,58.5,0.0628,0.149,0.114,-1.5
25,iStock-1082441136.jpg,move,s6,N,1.499,1.053,1.087,1.063,1.199,0,0,0,165.5,75.8,0.2897,0.28,0.256,36.3
26,iStock-1096035138.jpg,outdoors,s6,T,1.498,1.241,1.161,1.083,1.154,0,0,0,138.2,71.5,0.0755,0.258,0.195,-4.2
27,iStock-1127066336.jpg,mind,s6,N,1.5,1.977,2.297,1.133,1.16,0,0,0,100.8,59.3,0.0007,0.136,0.09,3.6
28,iStock-1127224298.jpg,move,s3,H,1.627,1.301,1.447,1.057,1.139,0,0,0,138.1,73.7,0.0078,0.39,0.348,51.9
29,iStock-1127302984 (1).jpg,work,s4,T,1.5,1.478,1.373,1.137,1.234,0,0,0,65.1,48.0,0.0024,0.18,0.177,6.4
30,iStock-1133212923.jpg,nutrition,s6,T,1.498,1.275,1.306,1.116,1.326,0,0,0,67.9,44.8,0.001,0.295,0.184,24.1
31,iStock-1133738868.jpg,digital,s6,T,1.35,1.225,1.388,1.065,1.101,0,0,0,127.9,75.5,0.0371,0.177,0.135,4.8
32,iStock-1134003545.jpg,social,s6,T,1.506,1.275,1.273,1.104,1.059,0,0,0,144.9,64.5,0.1481,0.301,0.183,36.8
33,iStock-1138155900.jpg,nutrition,s6,T,1.499,1.004,0.988,1.049,1.144,0,0,0,173.2,58.8,0.1009,0.334,0.245,39.7
34,iStock-1138169611.jpg,play,s5,H,1.5,1.559,1.366,1.095,1.09,0,0,0,161.0,66.9,0.2189,0.366,0.318,61.4
35,iStock-1139731889 (1).jpg,move,s3,T,1.5,1.308,1.327,1.062,1.07,0,0,0,152.1,77.2,0.1144,0.188,0.15,10.7
36,iStock-1139996598 (1).jpg,data,s4,T,1.5,0.932,0.843,1.074,1.05,0,0,0,178.2,71.2,0.0949,0.271,0.234,37.1
37,iStock-1140322836 (1).jpg,family,s6,T,1.5,1.114,1.146,1.067,1.124,0,0,0,150.2,68.3,0.04,0.194,0.096,13.5
38,iStock-1140524613.jpg,work,s5,T,1.906,1.155,1.235,1.033,1.195,0,0,0,183.0,76.0,0.3026,0.084,0.057,4.7
39,iStock-1142905588.jpg,move,s3,T,1.5,0.933,0.958,1.021,1.182,0,0,0,87.6,69.7,0.0747,0.677,0.615,41.6
40,iStock-1143543752 (1).jpg,digital,s6,T,1.53,1.237,1.332,1.037,1.24,0,0,0,125.6,70.9,0.0129,0.204,0.229,-2.0
