idx,file,subject,stage,crop,features,note,w,h,ratio,thumb
1,#1.jpg,move,s6,T,Challenges; Healthy Habits · Activity,,4743,3162,1.5,t001.jpg
2,#5.jpg,move,s3,T,Challenges; Healthy Habits · Activity,,2121,1414,1.5,t002.jpg
3,Crop.png,digital,s2,N,Empty states; Journeys · Enrollment; Journeys · Onboarding,studio teal,1080,1080,1.0,t003.jpg
4,Kisses.jpg,pets,s6,T,Broadcast · Seasonal; Rewards,,1354,903,1.499,t004.jpg
5,doing-business-with-his-brain-picture-New.jpg,work,s6,T,Broadcast · Employer,,1024,659,1.554,t005.jpg
6,have-the-courage-to-be-ambitious-picture-id693275166.jpg,work,s6,T,Broadcast · Employer,,1024,649,1.578,t006.jpg
7,hiker-looking-at-view-at-moraine-lake-banff-national-park-alberta-picture-id1335166112.jpg,outdoors,s6,H,Broadcast · Seasonal; Destination Challenges; Rewards,no face — place as subject,1024,683,1.499,t007.jpg
8,iStock-1001289082.jpg,family,s6,T,Broadcast · Seasonal; Rewards,,2192,1367,1.604,t008.jpg
9,iStock-1007786322.jpg,nutrition,s6,T,DCP · Diabetes; Healthy Habits · Nutrition,child,2119,1414,1.499,t009.jpg
10,iStock-1020064642.jpg,work,s5,T,Broadcast · Employer; Milestone; Rewards · Earned,,2119,1415,1.498,t010.jpg
11,iStock-1026572134.jpg,social,s6,N,Broadcast · Seasonal; Rewards,portrait file,1495,2006,0.745,t011.jpg
12,iStock-1031384826-modified-7169d05b-5ae3-4227-85fc-0e3cb2bc172a.jpg,play,s6,N,Broadcast · Seasonal; Rewards,portrait file; dupe of 13,915,1144,0.8,t012.jpg
13,iStock-1031384826-modified-a11a1909-bc69-4d79-9e87-d5d802953f1f.jpg,play,s6,T,Broadcast · Seasonal; Rewards,dupe of 12,1729,1186,1.458,t013.jpg
14,iStock-1037007848 (1).jpg,move,s3,H,Challenges; Healthy Habits · Activity,,2140,1401,1.527,t014.jpg
15,iStock-1037623172.jpg,move,s3,H,Challenges; Healthy Habits · Activity,legs only,2119,1414,1.499,t015.jpg
16,iStock-1038018250 (1).jpg,mind,s6,T,DCP · Depression/Anxiety; Healthy Habits · Mindfulness,reading + place,2309,1299,1.778,t016.jpg
