idx,file,subject,stage,crop,note,v:1:1,v:4:3,v:3:2,v:16:10,v:16:9,v:2:1,v:3:1,v:4:1,v:4.5:1,v:6:1
1,#1.jpg,move,s6,T,,fail,,pass,,,,,marginal,,
2,#5.jpg,move,s3,T,,pass,pass,pass,,,,,fail,fail,fail
3,Crop.png,digital,s2,N,studio teal,pass,pass,,,,,,fail,fail,fail
4,Kisses.jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
5,doing-business-with-his-brain-picture-New.jpg,work,s6,T,,pass,pass,,,,,,fail,fail,fail
6,have-the-courage-to-be-ambitious-picture-id693275166.jpg,work,s6,T,,pass,pass,,,,,,fail,fail,fail
7,hiker-looking-at-view-at-moraine-lake-banff-national-park-alberta-picture-id1335166112.jpg,outdoors,s6,H,no face — place as subject,pass,pass,pass,pass,pass,pass,pass,pass,,
8,iStock-1001289082.jpg,family,s6,T,,pass,pass,,pass,pass,pass,pass,pass,,
9,iStock-1007786322.jpg,nutrition,s6,T,child,pass,pass,pass,pass,pass,pass,pass,pass,,
10,iStock-1020064642.jpg,work,s5,T,,marginal,,pass,pass,pass,pass,pass,pass,,
11,iStock-1026572134.jpg,social,s6,N,portrait file,pass,pass,,pass,pass,pass,pass,pass,,
12,iStock-1031384826-modified-7169d05b-5ae3-4227-85fc-0e3cb2bc172a.jpg,play,s6,N,portrait file; dupe of 13,pass,pass,,,,,,fail,fail,fail
13,iStock-1031384826-modified-a11a1909-bc69-4d79-9e87-d5d802953f1f.jpg,play,s6,T,dupe of 12,pass,pass,,,,,,fail,fail,fail
14,iStock-1037007848 (1).jpg,move,s3,H,,fail,,,pass,pass,pass,pass,pass,,
15,iStock-1037623172.jpg,move,s3,H,legs only,fail,,pass,pass,pass,pass,pass,pass,,
16,iStock-1038018250 (1).jpg,mind,s6,T,reading + place,pass,pass,,pass,pass,pass,pass,pass,,
17,iStock-1039533792.jpg,mind,s3,H,hands close but wide frame,pass,pass,pass,pass,pass,pass,pass,pass,,
18,iStock-1051098428.jpg,social,s3,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
19,iStock-1053860458.jpg,digital,s6,T,,pass,pass,pass,,,,,fail,fail,fail
20,iStock-1055102000 (1).jpg,digital,s6,T,wearable + phone,pass,pass,,pass,pass,pass,pass,pass,,
21,iStock-1056322278 (1).jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
22,iStock-1057566460.jpg,move,s3,T,detail — bike wheel,pass,pass,pass,pass,pass,pass,pass,pass,,
23,iStock-1071442184.jpg,mind,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
24,iStock-1079719138-modified-fd4f50f8-5e9b-4457-ad9a-0b8153bf38d0.jpg,digital,s2,N,hands only,pass,pass,pass,pass,pass,pass,pass,pass,,
25,iStock-1082441136.jpg,move,s6,N,,pass,pass,pass,,,,,fail,fail,fail
26,iStock-1096035138.jpg,outdoors,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
27,iStock-1127066336.jpg,mind,s6,N,book detail,pass,pass,pass,pass,pass,pass,pass,pass,,
28,iStock-1127224298.jpg,move,s3,H,silhouette,pass,pass,,pass,pass,pass,pass,pass,,
29,iStock-1127302984 (1).jpg,work,s4,T,charts on screen,pass,pass,pass,pass,pass,pass,pass,pass,,
